codeWilaya,Wilaya,MoughataaFr,Commune,Center,bureau,Candidat,Wilaya_ar,MoughataaAr,Commune_ar,Center_ar,bureau_ar,CandidatAr,Type,TypeAr,nbr_Inscrits,nb_bulletin,nb_votant_neutre,nb_votant_null,nb_vote
00,Etranger,Afrique,Côte d'Ivoire,interieur-Daloa,interieur-Daloa  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,ساحل العاج,دالوا,دالوا  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,737,334,20,7,57
00,Etranger,Afrique,Côte d'Ivoire,interieur-Daloa,interieur-Daloa  01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,ساحل العاج,دالوا,دالوا  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,737,334,20,7,1
00,Etranger,Afrique,Côte d'Ivoire,interieur-Daloa,interieur-Daloa  01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,ساحل العاج,دالوا,دالوا  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,737,334,20,7,48
00,Etranger,Afrique,Côte d'Ivoire,interieur-Daloa,interieur-Daloa  01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,ساحل العاج,دالوا,دالوا  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,737,334,20,7,0
00,Etranger,Afrique,Côte d'Ivoire,interieur-Daloa,interieur-Daloa  01,Mamadou Bocar Ba,الخارج,إفريقيا,ساحل العاج,دالوا,دالوا  01,مامادو  بوكار با,Présidentielles,الرئاسية,737,334,20,7,1
00,Etranger,Afrique,Côte d'Ivoire,interieur-Daloa,interieur-Daloa  01,El Id Mohameden M’Bareck,الخارج,إفريقيا,ساحل العاج,دالوا,دالوا  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,737,334,20,7,7
00,Etranger,Afrique,Côte d'Ivoire,interieur-Daloa,interieur-Daloa  01,Biram Dah  Abeid,الخارج,إفريقيا,ساحل العاج,دالوا,دالوا  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,737,334,20,7,193
00,Etranger,Afrique,Côte d'Ivoire,interieur-Sanpedro,interieur-Sanpedro  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,ساحل العاج,سانبيدرو,سانبيدرو  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,261,141,4,1,21
00,Etranger,Afrique,Côte d'Ivoire,interieur-Sanpedro,interieur-Sanpedro  01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,ساحل العاج,سانبيدرو,سانبيدرو  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,261,141,4,1,0
00,Etranger,Afrique,Côte d'Ivoire,interieur-Sanpedro,interieur-Sanpedro  01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,ساحل العاج,سانبيدرو,سانبيدرو  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,261,141,4,1,34
